Date,Name,Total price,Current price
31-10-2019 16:07,'FSX Steam Edition: Cessna® C404 Titan Add-On',16.99,11.89
31-10-2019 16:07,'Tabletop Simulator - Blood Rage',6.59,6.59
31-10-2019 16:07,'EEP 15 - Expert Upgrade',20.0,20.0
31-10-2019 16:07,'Cuisine Royale - Starter Pack',19.99,19.99
31-10-2019 16:07,'X-Plane 11 - Add-on: Aerosoft - Airport Berlin-Brandenburg',29.95,20.06
31-10-2019 16:07,'EARTH DEFENSE FORCE 5 - Fencer Support Device Wild Skeleton',2.39,2.39
31-10-2019 16:07,'Tower!3D Pro - EDDS airport',14.99,8.99
31-10-2019 16:07,'月圆之夜 - 回忆拼图 / Night of Full Moon - Memory Puzzle',1.59,1.59
31-10-2019 16:07,'EARTH DEFENSE FORCE 5 - Air Raider Piloted Weapon Combat Frame Gold Nyx',2.39,2.39
31-10-2019 16:07,'Reebyte : Visual Novel and Interactive App Maker',29.99,8.99
31-10-2019 16:07,'MMA Executive',20.99,20.99
31-10-2019 16:07,'FSX: Steam Edition - Zurich Airport Add-On',22.99,17.24
31-10-2019 16:07,'EARTH DEFENSE FORCE 5 - Ranger Piloted Weapon Omega Freesia',2.39,2.39
31-10-2019 16:07,'探灵笔记·古墓地宫系列：小花-探墓小队服饰（附送29999灵币）',5.99,4.13
31-10-2019 16:07,'Panic Diet!!',2.39,2.39
31-10-2019 16:07,'DC Universe Online™ - Episode Pack IV',36.99,36.99
31-10-2019 16:07,'Watchers: Battle Pass',8.19,8.19
31-10-2019 16:07,'Idle Champions - Delina's Starter Pack',8.19,4.5
31-10-2019 16:07,'MapleStory 2 - Starter Pack DLC',16.96,16.96
31-10-2019 16:07,'月圆之夜 - 南瓜灯 / Night of Full Moon - Pumpkin Lamp',0.79,0.79
31-10-2019 16:07,'Star Conflict - Pilgrim',29.99,14.99
31-10-2019 16:07,'EARTH DEFENSE FORCE 5 - Wing Diver Weapon Starburst',2.39,2.39
31-10-2019 16:07,'EARTH DEFENSE FORCE 5 - Ranger Support Device Detector S-Type',2.39,2.39
31-10-2019 16:07,'Supporter Pack - Official Sound Track',4.99,4.24
31-10-2019 16:07,'Ports of Call Classic',3.99,3.19
31-10-2019 16:07,'Season Pass (Episodes 2-4)',16.79,12.59
31-10-2019 16:07,'polyfuru feat. ASANO RURI / ポリフる feat. 朝ノ瑠璃',14.99,14.99
31-10-2019 16:07,'Master Magistrate',16.79,16.79
31-10-2019 16:07,'Rare Weapons Set A (The Amihama Elite)',3.99,1.99
31-10-2019 16:07,'Anarchy Online: Rubi-Ka New Colonist Bundle',19.99,11.99
31-10-2019 16:07,'Wildilfe Park 3 - Dino Invasion',6.99,5.59
31-10-2019 16:07,'Street Fighter V - Chun-Li Costumes Bundle',14.99,14.99
31-10-2019 16:07,'Yu-Gi-Oh! ARC-V Sora and Dipper',4.99,4.99
31-10-2019 16:07,'Mutant Football League - Werewolf Rampage Pack',2.39,2.15
31-10-2019 16:07,'Mhakna Gramura and Fairy Bell - Original Soundtrack',9.99,6.99
31-10-2019 16:07,'X-Plane 11 - Add-on: Aerosoft - Airport Rom',25.95,17.38
31-10-2019 16:07,'FSX Steam Edition: Cessna® 152 Add-On',34.99,20.99
31-10-2019 16:07,'Halloween Chronicles: Evil Behind a Mask Collector's Edition',11.59,10.43
31-10-2019 16:07,'Devil May Cry 5 - 5 Blue Orbs',2.99,2.39
31-10-2019 16:07,'Survival Vacancy',16.79,14.27
31-10-2019 16:07,'Mutant Football League - Demonic Legion Pack',2.39,2.15
31-10-2019 16:07,'Sentinels of the Multiverse - Shattered Timelines',4.99,4.99
31-10-2019 16:07,'OMSI 2 Add-on Downloadpack Vol. 2 - KI-Fahrzeuge',12.95,9.06
31-10-2019 16:07,'Farm Frenzy 3',9.99,9.99
31-10-2019 16:07,'Differently Fast',14.99,7.49
31-10-2019 16:07,'Moon Tycoon',13.29,7.97
31-10-2019 16:07,'CyberLink PowerDirector 16 Ultimate',99.99,99.99
31-10-2019 16:07,'Professional Fishing: Sakura© Ryokan Spinning',16.79,1.67
31-10-2019 16:07,'Yu-Gi-Oh! ARC-V: Jack Atlas vs Yuya',4.99,4.99
31-10-2019 16:07,'001 Game Creator - 3D FPS / Survival Horror Kit',20.99,14.69
31-10-2019 16:07,'Cadria Item Shop - Blessing of Gods',9.99,9.99
31-10-2019 16:07,'Rare Weapons Set C (The Tournament Tyrants)',3.99,1.99
31-10-2019 16:07,'GameGuru - Construction Site Pack',27.99,13.99
31-10-2019 16:07,'Crusaders of the Lost Idols - Aqua the Dragon Taskmaster Pack',8.19,4.91
